date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/17/2023,ARKF,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"1,076,399","$104,324,591.08",11.75%
11/17/2023,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,"1,269,991","$85,444,994.48",9.62%
11/17/2023,ARKF,"BLOCK INC",SQ,852234103,"1,298,653","$73,088,190.84",8.23%
11/17/2023,ARKF,"DRAFTKINGS INC-CL A","DKNG UW",26142V105,"1,868,555","$69,715,787.05",7.85%
11/17/2023,ARKF,"UIPATH INC - CLASS A",PATH,90364P105,"3,069,924","$55,258,632.00",6.22%
11/17/2023,ARKF,"TWILIO INC - A",TWLO,90138F102,"810,672","$49,896,861.60",5.62%
11/17/2023,ARKF,"ADYEN NV",ADYEN,BZ1HM42,"37,819","$41,643,725.11",4.69%
11/17/2023,ARKF,"INTUIT INC",INTU,461202103,"63,374","$35,296,149.30",3.97%
11/17/2023,ARKF,"MERCADOLIBRE INC",MELI,58733R102,"22,817","$33,530,722.35",3.78%
11/17/2023,ARKF,"GLOBAL-E ONLINE LTD",GLBE,M5216V106,"1,106,831","$33,614,457.47",3.78%
11/17/2023,ARKF,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"4,065,466","$32,279,800.04",3.63%
11/17/2023,ARKF,"STONECO LTD-A",STNE,G85158106,"2,079,498","$28,447,532.64",3.20%
11/17/2023,ARKF,"ROKU INC",ROKU,77543R102,"302,705","$27,092,097.50",3.05%
11/17/2023,ARKF,"DISCOVERY LTD",DSY,6177878,"3,646,068","$27,005,559.24",3.04%
11/17/2023,ARKF,"ROBLOX CORP -CLASS A",RBLX,771049103,"632,115","$24,247,931.40",2.73%
11/17/2023,ARKF,"TOAST INC-CLASS A",TOST,888787108,"1,413,270","$20,139,097.50",2.27%
11/17/2023,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,"534,280","$16,706,935.60",1.88%
11/17/2023,ARKF,"JSC KASPI.KZ GDR-REG S",KSPI,BMXZ8G7,"167,445","$15,773,319.00",1.78%
11/17/2023,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,"927,269","$15,689,391.48",1.77%
11/17/2023,ARKF,"BILL HOLDINGS INC",BILL,090043100,"256,360","$15,604,633.20",1.76%
11/17/2023,ARKF,"NU HOLDINGS LTD/CAYMAN ISL-A","NU UN",G6683N103,"1,971,319","$15,474,854.15",1.74%
11/17/2023,ARKF,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"571,575","$11,300,037.75",1.27%
11/17/2023,ARKF,"LY CORP",4689,6084848,"3,827,614","$10,883,079.21",1.23%
11/17/2023,ARKF,"NVIDIA CORP",NVDA,67066G104,"21,338","$10,558,042.40",1.19%
11/17/2023,ARKF,"AVIDXCHANGE HOLDINGS INC",AVDX,05368X102,"966,518","$9,462,211.22",1.07%
11/17/2023,ARKF,"SOFI TECHNOLOGIES INC",SOFI,83406F102,"1,249,243","$8,382,420.53",0.94%
11/17/2023,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,"68,062","$7,641,320.74",0.86%
11/17/2023,ARKF,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,"26,869","$5,488,530.63",0.62%
11/17/2023,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,"90,243","$3,673,792.53",0.41%
11/17/2023,ARKF,"GOLDMAN FS TRSY OBLIG INST 468",,X9USDGSFT,"438,406","$438,406.10",0.05%
11/17/2023,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,"607,059","$6,070.59",0.00%